,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Inventory Part","Processors:AMD:AX4-950","AMD Athlon X4 950 Bristol Ridge 3.5G/AM4/65W","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Athlon X4 950 Bristol Ridge 3.5G/AM4/65W",0,"each (ea)","Count in each",63.70,,,0.00,0,"No","","AD950XAGABBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:FX-8350","AMD FX-8350 Eight-Core 4GHz AM3+ Processor..","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD FX-8350 Eight-Core 4GHz AM3+ Processor..",0,"each (ea)","Count in each",140.94,,,0.00,0,"No","","FD8350FRHKBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:FX-8350WC","AMD FX-8350 4.2/16M/AM3+ 125W with Wraith Cooler Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD FX-8350 4.2/16M/AM3+ 125W with Wraith Cooler Retail",0,"each (ea)","Count in each",135.00,,,0.00,0,"No","","FD8350FRHKHBX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:FX-9590","AMD X8-AM3+ (FX-9590) 5.0GHz 8M 220W Box","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD X8-AM3+ (FX-9590) 5.0GHz 8M 220W Box",0,"each (ea)","Count in each",256.94,,,0.00,0,"No","","FD9590FHHKWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:PS7281BEAFWOF","AMD CPU PS7281BEAFWOF EYPC WOF 7281 2P/1P 2.10Ghz 155/170W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD CPU PS7281BEAFWOF EYPC WOF 7281 2P/1P 2.10Ghz 155/170W Retail",0,"each (ea)","Count in each",859.02,,,0.00,0,"No","","PS7281BEAFWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:PS7551BDVIHAF","AMD EPYC 7551 32 Core 2.0GHz 64MB SP3 Server Processor OEM","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD EPYC 7551 32 Core 2.0GHz 64MB SP3 Server Processor OEM",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","PS7551BDVIHAF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:PS755PBDAFWOF","AMD EPYC 7551P 32-Core 2.0 GHz (3.0 GHz Turbo) Socket SP3 180W PS755PBDAFWOF Server Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD EPYC 7551P 32-Core 2.0 GHz (3.0 GHz Turbo) Socket SP3 180W PS755PBDAFWOF Server Processor",0,"each (ea)","Count in each",3067.00,,,0.00,0,"No","","PS755PBDAFWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:PS755PBDVIHAF","AMD EPYC 7551P Dotriaconta-core (32 Core) 2 GHz Processor - Socket SP3 - OEM Pack - 64 MB Cach","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD EPYC 7551P Dotriaconta-core (32 Core) 2 GHz Processor - Socket SP3 - OEM Pack - 64 MB Cach",0,"each (ea)","Count in each",3020.00,,,0.00,0,"No","","PS755PBDVIHAF","No",,,,,,
,"Active","Inventory Part","Processors:INTEL",,"H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,,0,"each (ea)","Count in each",0.00,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Processors:INTEL:G6500","Intel CPU BX80701G6500 Celeron G6500 BOX 4M Cache 4.1GHz FCLGA1200 2Core/4Thread","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel CPU BX80701G6500 Celeron G6500 BOX 4M Cache 4.1GHz FCLGA1200 2Core/4Thread",0,"each (ea)","Count in each",100.65,,,0.00,0,"No","","	BX80701G6500","No",,"118/0107","119",,,
